,id,name,mpn,url_1,price_1,old_price_1,currency_1,info,cpu_type_1,cpu_implementation_1,cpu_number_of_cores_1,display_size__inch_1,memory_ram__gb_1,storage_type_1,storage_capacity__gb_1,design_color_name_1,general_year_1,url_2,url_3,url_4,price_2,old_price_2,currency_2,price_3,old_price_3,currency_3,price_4,old_price_4,currency_4,url_5,url_6,url_7,price_5,old_price_5,currency_5,price_6,old_price_6,currency_6,url_8,url_9,url_10,url_11,price_7,old_price_7,currency_7,price_8,old_price_8,currency_8,price_9,old_price_9,currency_9,url_12,price_10,old_price_10,currency_10
4068,7048,Lenovo IdeaPad 5 Pro 16ACH6,82L5009DMH,https://www.bol.com/be/nl/p/lenovo-ideapad-5-pro-16ach6-82l5009dmh-laptop-16-inch/9300000033691278/,1207,,EUR,2021 - AMD Ryzen 9 - 5900HX - 8 cores - 16 inch - 32GB - 512GB - 512GB SSD - Gray - 82L5009DMH,AMD Ryzen 9,5900HX,8,16,32,SSD,512,Gray,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4069,7049,Asus ZenBook Pro 14 Duo OLED,90NB0X72-M004U0,https://www.bol.com/be/nl/p/asus-zenbook-pro-14-duo-oled-ux8402za-m3088w-creator-laptop-14-5-inch-120-hz/9300000089845279/,1780.09,1796.76,EUR,Intel Core i7 - i7-12700H - 14 cores - 14.5 inch - 16GB - 1000GB - 1000GB SSD - Black - 90NB0X72-M004U0,Intel Core i7,i7-12700H,14,14.5,16,SSD,1000,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4070,2801,Medion Akoya E15415,30034416,https://www.bol.com/be/nl/p/medion-akoya-e15415-intel-core-i5-10210u-8gb-512gb-ssd-win-11-home/9300000123766077/,535,549,EUR,Intel Core i5 - 10210U - 4 cores - 15.6 inch - 8GB - 512GB - 512GB SSD - Galaxy Blue - 30034416,Intel Core i5,10210U,4,15.6,8,SSD,512,Galaxy Blue,,https://azerty.nl/product/akoya-e15415-md62479-nl-notebook-e1541515-6i-fhd-ips-intel-coretm-i5-10210u-8-gb-512-gb-ssd-intel-uhd-graphics-ac-w11-qwerty/4984055,https://www.bol.com/be/nl/p/medion-akoya-e15415-30034416/9300000123766077/,,529,574.95,EUR,499,535,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4071,1793,HP 15S-EQ2255ND,3Y5J6EA#ABH,https://www.bol.com/be/nl/p/hp-15s-eq2255nd-laptop/9300000032239026/,640.97,649.19,EUR,2020 - AMD Ryzen™ 5 - 5500U - 6 cores - 15.6 inch - 8GB - 256GB SSD - Blue - 3Y5J6EA#ABH,AMD Ryzen™ 5,5500U,6,15.6,8,SSD,256,Blue,2020,https://azerty.nl/product/hp-15s-eq2255nd-laptop/4497898,https://devices-api-prd.s3.eu-west-3.amazonaws.com/a6b05c69639518da6f58b7307cdaf2ed.jpg,,607.51,605.61,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4072,7050,HP Specter x360 16-f1640nd,6F8C0EA#ABH,https://www.bol.com/be/nl/p/hp-spectre-x360-16-f1640nd-i7-12700h-hybride-40-6-cm-touchscreen-3k-intel-core-i7-16-gb-ddr4-sdram-512-gb-ssd-wi-fi-6e-windows-11-home-zwart/9300000109297286/,1506,1348,EUR,Intel Core i7 - i7-12700H - 14 cores - 16 inch - 16GB - 512GB - 512GB SSD - Black - 6F8C0EA#ABH,Intel Core i7,i7-12700H,14,16,16,SSD,512,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4073,7102,Lenovo ThinkPad X1 Extreme,21DE003YMH,https://azerty.nl/product/lenovo-thinkpad-x1-extreme-laptop/5015275,6370.36,,EUR,"Intel® Core™ i9 - i9-12900H - 14 cores - 16 inch - 32GB - 1000GB - 1000GB SSD - Black, Weave - 21DE003YMH",Intel® Core™ i9,i9-12900H,14,16,32,SSD,1000,"Black, Weave",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4074,2580,HP 14A-NA0170ND,14a-na0170nd,https://www.bol.com/be/nl/p/hp-14a-na0170nd-chromebook-14-inch/9300000010769177/,243.89,246.26,EUR,Intel Pentium - N5000 - 4 cores - 14 inch - 4GB - 64GB Flash - Silver - 14a-na0170nd,Intel Pentium,N5000,4,14,4,Flash,64,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4075,7051,Dell Inspiron 17-7779,Inspiron17-7779,https://www.bol.com/be/nl/p/dell-inspiron-17-7779-notebook-43-9-cm-full-hd-touchscreen-intel-core-i7-16gb-ram-512gb-ssd-nvidia-geforce-940mx-windows-10-pro/9300000127262387/,549,,EUR,"Intel Core i7 - Core i7-7500U - 17.3 inch - 16GB - 512GB - 512GB SSD - black, silver - Inspiron17-7779",Intel Core i7,Core i7-7500U,,17.3,16,SSD,512,"black, silver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4076,811,HP Elitebook 850 G8 DDR4-SDRAM,2Y2S4EA#ABH,https://www.bol.com/be/nl/p/hp-elitebook-850-g8-ddr4-sdram-notebook-39-6-cm-1920-x-1080-pixels-intel-11de-generatie-core-i7-8-gb-256-gb-ssd-wi-fi-6-windows-10-pro-zilver/9300000021500359/,1049,1069,EUR,Intel® Core™ i7 - i7-1165G7 - 4 cores - 15.6 inch - 8GB - 256GB SSD - Silver - 2Y2S4EA#ABH,Intel® Core™ i7,i7-1165G7,4,15.6,8,SSD,256,Silver,,https://azerty.nl/product/hp-elitebook-850-g8-laptop/4419689,https://devices-api-prd.s3.eu-west-3.amazonaws.com/eacd96a6b65990784b16e5f751012c04.jpg,,1229,1295,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4077,1486,HP Chromebook X360 11 G4,305X9EA#ABH,https://www.bol.com/be/nl/p/hp-chromebook-x360-11-g4-11-6-inch/9300000032328710/,359,319,EUR,2021 - Intel® Celeron® - N5100 - 4 cores - 11.6 inch - 4GB - 32GB eMMC - Black - 305X9EA#ABH,Intel® Celeron®,N5100,4,11.6,4,eMMC,32,Black,2021,https://azerty.nl/product/hp-chromebook-x360-11-g4-education-edition-draaibaar-design/4517407,https://devices-api-prd.s3.eu-west-3.amazonaws.com/12365137ab2bdeb89622868d041ab313.jpg,,556,551.79,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4078,1231,Asus BR1100FKA,90NX03A1-M00DJ0,https://www.bol.com/be/nl/p/asus-br1100fka-bp0293xa/9300000121435471/,499,399,EUR,Intel Pentium - Intel Pentium Silver N6000 - 4 cores - 11.6 inch - 8GB - 128GB SSD - Black - 90NX03A1-M00DJ0,Intel Pentium,Intel Pentium Silver N6000,4,11.6,8,SSD,128,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4079,7086,HP ProBook 450 G7,Probook450G7,https://www.bol.com/be/nl/p/hp-probook-450-g7-39-6-cm-full-hd-intel-core-i7-16gb-ram-512gb-ssd-windows-10-professional/9300000140081690/,949,,EUR,Intel Core i7 - Core i7-10510U - 15.6 inch - 16GB - 512GB - 512GB SSD - silver - Probook450G7,Intel Core i7,Core i7-10510U,,15.6,16,SSD,512,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4080,3981,Microsoft Surface 4,LB9-00014,https://azerty.nl/product/microsoft-surface-laptop-4-intel-core-i7-1185g7/4708236,2026.18,2608.97,EUR,Intel® Core™ i7 - i7-1185G7 - 4 cores - 13.5 inch - 32GB - 1000GB SSD - Black - LB9-00014,Intel® Core™ i7,i7-1185G7,4,13.5,32,SSD,1000,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4081,7052,HP EliteBook 840 G3,W4Z96AW#ABB,https://www.bol.com/be/nl/p/hp-elitebook-840-g3-laptop/9200000054501765/,299,299.99,EUR,2018 - Intel Core i5 - i5-6300U - 2 cores - 14 inch - 8GB - 256GB - 256GB SSD - silver - W4Z96AW#ABB,Intel Core i5,i5-6300U,2,14,8,SSD,256,silver,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4082,7053,Acer Aspire 5 A515-56-77SX,NX.A1GEH.001,https://www.bol.com/be/nl/p/acer-aspire-5-a515-56-77sx/9300000035670766/,576.33,581.31,EUR,Intel Core i7 - 1165G7 - 15.6 inch - 16GB - 512GB - 512GB SSD - Black - NX.A1GEH.001,Intel Core i7,1165G7,,15.6,16,SSD,512,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4083,7054,Msi Gaming Katana GF76,9S7-17L212-650,https://www.bol.com/be/nl/p/msi-gaming-laptop-katana-gf76-11ud-650nl/9300000075189517/,1099,1119,EUR,Intel Core i7 - i7-11800H - 8 cores - 17.3 inch - 16GB - 512GB - 512GB SSD - Black - 9S7-17L212-650,Intel Core i7,i7-11800H,8,17.3,16,SSD,512,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4084,7056,Asus VivoBook Pro 16X,90NB0UI3-M02750,https://www.bol.com/be/nl/p/asus-vivobook-pro-16x-n7600pc-kv089t-creator-laptop-16-inch/9300000042904309/,953.64,953,EUR,Intel Core i7 - i7-11370H - 4 cores - 16 inch - 16GB - 512GB - 512GB SSD - Silver - 90NB0UI3-M02750,Intel Core i7,i7-11370H,4,16,16,SSD,512,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4085,7057,Lenovo ThinkPad X1 Yoga Gen 6,20Y0S1KC0J,https://www.bol.com/be/nl/p/lenovo-thinkpad-x1-yoga-gen-6-core-i7-3-0ghz-32gb-512gb/9300000129270140/,2095,1995,EUR,Intel Core i7 - 1185G7 - 4 cores - 14 inch - 32GB - 512GB - 512GB SSD - Silver - 20Y0S1KC0J,Intel Core i7,1185G7,4,14,32,SSD,512,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4086,3983,HP 470 G8,5N3Z1EA#ABH,https://azerty.nl/product/hp-470-g8-notebook-laptop/4654033,998.76,1014.55,EUR,Intel® Core™ i5 - i5-1135G7 - 4 cores - 17.3 inch - 8GB - 256GB SSD - Silver - 5N3Z1EA#ABH,Intel® Core™ i5,i5-1135G7,4,17.3,8,SSD,256,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
